"pid","sid","pname","price","qnt","rating","discnt","credit","material","type","des","spec","ParentImgLink"
"CRAF-0-A#1","4","Stylish Bamboo Bag","999","50","0","0","0","Bamboo","Bag","A chic hand bag made of 100% black virgin Bamboo for the modern woman. The spacious interior is perf","This bag is perfect for a day at the beach or on the street. Made from bamboo fabric, it has a compa","C:/CraftozaParentImages/image1.png"
"CRAF-1-B#3","5","Goan Rooster Style Water Jug","579","20","0","0","0","Clay","Earthen po","The Goan Rooster water jug will take care of your water requirements. It is handcrafted by artisan c","2L Water Storage capacity, with high quality craftmanship. It can naturally cool down water.
","C:/CraftozaParentImages/image392.png"
"CRAF-2-B#3","5","Uniquely Shaped Clay Oil Lamp","199","25","0","0","0","Clay","Earthen po","Traditional goan oil lamps made out of clay with the design of Indian figural scenes. Each piece is ","Traditional goan oil lamps made out of clay. These lamps use natural oil can be lit up during any re","C:/CraftozaParentImages/image152.png"
"CRAF-3-C#2","6","Handcrafted Coconut Shell Bottles","499","20","0","0","0","Coconut","Home Deco","Our handcrafted coconut shell bottles are the perfect way to store your favourite oils, waters, salt","This handcrafted coconut shell bottle is made from natural coconut shells and has been used for many","C:/CraftozaParentImages/image144.png"
"CRAF-4-D#4","3","Attractive Sea Shell bracelet","25","52","0","0","0","Shells","Juwellry","Handcrafted by local artisans, each shell is hand shaped and drilled to create the perfect bracelet.","This bracelet is made from sea shells, which are so colorful and iridescent.
","C:/CraftozaParentImages/image708.png"
"CRAF-5-J#9","7","Bottle Opener ","99","20","0","0","0","General","General","This mug shaped bottle opener is a funny and unusual collectible that could serve as a great gift fo","A uniquely shaped bottle capsule opener, can be used to open any type of tightly sealed carbonated d","C:/CraftozaParentImages/image563.png"
"CRAF-6-C#2","8","Coconut Shell Carved HomePiece","199","30","0","0","0","Coconut","Home Deco","This is a coconut shell carvings that will look beautiful as home decoration piece for your living r","A Monkey carved out of a coconut shell. 
","C:/CraftozaParentImages/image557.png"
"CRAF-7-J#7","7","I Love Goa Keychain","35","50","0","0","0","General","Keychain","The ""I love Goa"" key chain is the perfect gift to show the people you love how much you appreciate y","I Love Goa Small Bottle Key Chain, for your keys or other small things. The perfect gift for the bea","C:/CraftozaParentImages/image140.png"
"CRAF-8-H#6","7","Stylish Summer Hat","149","25","0","0","0","Cloth","Fashion","This hat is perfect for the beach, trip in Goa or anywhere in stylish summer times. It has a good si","A hat for women, Summer is a great time of year to wear a stylish hat. For ladies and gents alike, o","C:/CraftozaParentImages/image154.png"
"CRAF-9-B#3","8","Tranditional Oil Lamps (Set of 20 Pieces","299","100","0","0","0","Clay","Earthen po","Traditional Goan clay oil lamps are perfect for lighting up during Diwali in Goa, India. Made out of","Traditional goan oil lamps made out of clay. These lamps use natural gas can be lit up during Diwali","C:/CraftozaParentImages/image354.png"
